Ano;Trimestre;Establecimiento;Indicador;Meta;Numerador;Denominador;Resultado;Cumplimiento;Ponderador
2011;4;HOSPITAL HUEPIL;META 1:PORCENTAJE DE PACIENTES HIPERTENSOS COMPENSADOS BAJO CONTROL  EN EL GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,65;666;1019;0,65;1,00;0,15
2011;4;HOSPITAL HUEPIL;META 2: PORCENTAJE DE PACIENTES DIABETICOS COMPENSADOS BAJO CONTROL EN EL  GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,50;253;483;0,52;1,00;0,15
2011;4;HOSPITAL HUEPIL;META 3: PORCENTAJE DE CONSULTAS DE PROFESIONALES PROGRAMADAS Y REALIZADAS;0,95;22080;17952;1,23;1,00;0,10
2011;4;HOSPITAL HUEPIL;META 4: ALTAS ODONTOLOGICAS TOTALES EN EMBARAZADAS BAJO CONTROL, BENEFICIARIAS DEL NIVEL PRIMARIO;0,70;74;86;0,86;1,00;0,15
2011;4;HOSPITAL HUEPIL;META 5: PORCENTAJE DE CASOS DE GARANTIAS EXPLICITAS EN SALUD CON INDICACION DE TRATAMIENTO, EN LOS CASOS QUE SE CUMPLEN LAS GARANTIAS DE OPORTUNIDAD DE INICIO DE TRATAMIENTO;1,00;2274;2275;1,00;1,00;0,15
2011;4;HOSPITAL HUEPIL;META 6: PORCENTAJE DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES OTORGADAS SEGÚN LO PROGRAMADO DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES EN CONTRATO PPV PARA EL AÑO 2011;0,98;697;617;0,00;0,00;0,15
2011;4;HOSPITAL HUEPIL;META 7: PORCENTAJE DE FUNCIONARIOS REGIDOS POR E.A. QUE ASISTIERON DURANTE EL AÑO 2011 AL MENOS A UNA ACTIVIDAD DE CAPACITACIÓN PERTINENTE EN GES, MODELO DE ATENCIÓN, GESTION EN RED ASISTENCIAL,MEJORAMIENTO DE LA CALIDAD DE ATENCION Y TRATO AL USUARIO;0,80;70;73;0,96;1,00;0,15
2011;4;HOSPITAL MULCHEN;META 1:PORCENTAJE DE PACIENTES HIPERTENSOS COMPENSADOS BAJO CONTROL  EN EL GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,51;1928;2881;0,67;1,00;0,15
2011;4;HOSPITAL MULCHEN;META 2: PORCENTAJE DE PACIENTES DIABETICOS COMPENSADOS BAJO CONTROL EN EL  GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,42;604;1262;0,48;1,00;0,15
2011;4;HOSPITAL MULCHEN;META 3: PORCENTAJE DE CONSULTAS DE PROFESIONALES PROGRAMADAS Y REALIZADAS;0,98;49199;47682;1,03;1,00;0,10
2011;4;HOSPITAL MULCHEN;META 4: ALTAS ODONTOLOGICAS TOTALES EN EMBARAZADAS BAJO CONTROL, BENEFICIARIAS DEL NIVEL PRIMARIO;0,59;239;344;0,69;1,00;0,15
2011;4;HOSPITAL MULCHEN;META 5: PORCENTAJE DE CASOS DE GARANTIAS EXPLICITAS EN SALUD CON INDICACION DE TRATAMIENTO, EN LOS CASOS QUE SE CUMPLEN LAS GARANTIAS DE OPORTUNIDAD DE INICIO DE TRATAMIENTO;1,00;2860;2860;1,00;1,00;0,15
2011;4;HOSPITAL MULCHEN;META 6: PORCENTAJE DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES OTORGADAS SEGÚN LO PROGRAMADO DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES EN CONTRATO PPV PARA EL AÑO 2011;1,00;1488;1203;0,00;0,00;0,15
2011;4;HOSPITAL MULCHEN;META 7: PORCENTAJE DE FUNCIONARIOS REGIDOS POR E.A. QUE ASISTIERON DURANTE EL AÑO 2011 AL MENOS A UNA ACTIVIDAD DE CAPACITACIÓN PERTINENTE EN GES, MODELO DE ATENCIÓN, GESTION EN RED ASISTENCIAL,MEJORAMIENTO DE LA CALIDAD DE ATENCION Y TRATO AL USUARIO;0,61;100;150;0,67;1,00;0,15
2011;4;HOSPITAL NACIMIENTO;META 1:PORCENTAJE DE PACIENTES HIPERTENSOS COMPENSADOS BAJO CONTROL  EN EL GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,58;1474;2537;0,58;1,00;0,15
2011;4;HOSPITAL NACIMIENTO;META 2: PORCENTAJE DE PACIENTES DIABETICOS COMPENSADOS BAJO CONTROL EN EL  GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,35;542;1374;0,39;1,00;0,15
2011;4;HOSPITAL NACIMIENTO;META 3: PORCENTAJE DE CONSULTAS DE PROFESIONALES PROGRAMADAS Y REALIZADAS;0,94;40189;39315;1,02;1,00;0,10
2011;4;HOSPITAL NACIMIENTO;META 4: ALTAS ODONTOLOGICAS TOTALES EN EMBARAZADAS BAJO CONTROL, BENEFICIARIAS DEL NIVEL PRIMARIO;0,85;301;353;0,85;1,00;0,15
2011;4;HOSPITAL NACIMIENTO;META 5: PORCENTAJE DE CASOS DE GARANTIAS EXPLICITAS EN SALUD CON INDICACION DE TRATAMIENTO, EN LOS CASOS QUE SE CUMPLEN LAS GARANTIAS DE OPORTUNIDAD DE INICIO DE TRATAMIENTO;1,00;3391;3391;1,00;1,00;0,15
2011;4;HOSPITAL NACIMIENTO;META 6: PORCENTAJE DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES OTORGADAS SEGÚN LO PROGRAMADO DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES EN CONTRATO PPV PARA EL AÑO 2011;1,00;1257;1195;0,00;0,00;0,15
2011;4;HOSPITAL NACIMIENTO;META 7: PORCENTAJE DE FUNCIONARIOS REGIDOS POR E.A. QUE ASISTIERON DURANTE EL AÑO 2011 AL MENOS A UNA ACTIVIDAD DE CAPACITACIÓN PERTINENTE EN GES, MODELO DE ATENCIÓN, GESTION EN RED ASISTENCIAL,MEJORAMIENTO DE LA CALIDAD DE ATENCION Y TRATO AL USUARIO;0,80;104;114;0,91;1,00;0,15
2011;4;HOSPITAL LAJA;META 1:PORCENTAJE DE PACIENTES HIPERTENSOS COMPENSADOS BAJO CONTROL  EN EL GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,55;1332;2378;0,56;1,00;0,15
2011;4;HOSPITAL LAJA;META 2: PORCENTAJE DE PACIENTES DIABETICOS COMPENSADOS BAJO CONTROL EN EL  GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,42;410;994;0,41;0,98;0,15
2011;4;HOSPITAL LAJA;META 3: PORCENTAJE DE CONSULTAS DE PROFESIONALES PROGRAMADAS Y REALIZADAS;0,95;31923;38004;0,84;0,88;0,10
2011;4;HOSPITAL LAJA;META 4: ALTAS ODONTOLOGICAS TOTALES EN EMBARAZADAS BAJO CONTROL, BENEFICIARIAS DEL NIVEL PRIMARIO;0,65;184;277;0,66;1,00;0,15
2011;4;HOSPITAL LAJA;META 5: PORCENTAJE DE CASOS DE GARANTIAS EXPLICITAS EN SALUD CON INDICACION DE TRATAMIENTO, EN LOS CASOS QUE SE CUMPLEN LAS GARANTIAS DE OPORTUNIDAD DE INICIO DE TRATAMIENTO;1,00;2642;2648;1,00;1,00;0,15
2011;4;HOSPITAL LAJA;META 6: PORCENTAJE DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES OTORGADAS SEGÚN LO PROGRAMADO DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES EN CONTRATO PPV PARA EL AÑO 2011;1,00;1247;1636;0,76;0,76;0,15
2011;4;HOSPITAL LAJA;META 7: PORCENTAJE DE FUNCIONARIOS REGIDOS POR E.A. QUE ASISTIERON DURANTE EL AÑO 2011 AL MENOS A UNA ACTIVIDAD DE CAPACITACIÓN PERTINENTE EN GES, MODELO DE ATENCIÓN, GESTION EN RED ASISTENCIAL,MEJORAMIENTO DE LA CALIDAD DE ATENCION Y TRATO AL USUARIO;0,80;98;111;0,88;1,00;0,15
2011;4;HOSPITAL SANTA BARBARA;META 1:PORCENTAJE DE PACIENTES HIPERTENSOS COMPENSADOS BAJO CONTROL  EN EL GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,65;822;1121;0,73;1,00;0,15
2011;4;HOSPITAL SANTA BARBARA;META 2: PORCENTAJE DE PACIENTES DIABETICOS COMPENSADOS BAJO CONTROL EN EL  GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,42;217;391;0,55;1,00;0,15
2011;4;HOSPITAL SANTA BARBARA;META 3: PORCENTAJE DE CONSULTAS DE PROFESIONALES PROGRAMADAS Y REALIZADAS;0,98;16863;16437;1,03;1,00;0,10
2011;4;HOSPITAL SANTA BARBARA;META 4: ALTAS ODONTOLOGICAS TOTALES EN EMBARAZADAS BAJO CONTROL, BENEFICIARIAS DEL NIVEL PRIMARIO;0,80;87;116;0,75;0,94;0,15
2011;4;HOSPITAL SANTA BARBARA;META 5: PORCENTAJE DE CASOS DE GARANTIAS EXPLICITAS EN SALUD CON INDICACION DE TRATAMIENTO, EN LOS CASOS QUE SE CUMPLEN LAS GARANTIAS DE OPORTUNIDAD DE INICIO DE TRATAMIENTO;1,00;2519;2519;1,00;1,00;0,15
2011;4;HOSPITAL SANTA BARBARA;META 6: PORCENTAJE DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES OTORGADAS SEGÚN LO PROGRAMADO DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES EN CONTRATO PPV PARA EL AÑO 2011;1,00;704;861;0,82;0,82;0,15
2011;4;HOSPITAL SANTA BARBARA;META 7: PORCENTAJE DE FUNCIONARIOS REGIDOS POR E.A. QUE ASISTIERON DURANTE EL AÑO 2011 AL MENOS A UNA ACTIVIDAD DE CAPACITACIÓN PERTINENTE EN GES, MODELO DE ATENCIÓN, GESTION EN RED ASISTENCIAL,MEJORAMIENTO DE LA CALIDAD DE ATENCION Y TRATO AL USUARIO;0,87;92;92;1,00;1,00;0,15
2011;4;HOSPITAL YUMBEL;META 1:PORCENTAJE DE PACIENTES HIPERTENSOS COMPENSADOS BAJO CONTROL  EN EL GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,65;1018;1530;0,67;1,00;0,15
2011;4;HOSPITAL YUMBEL;META 2: PORCENTAJE DE PACIENTES DIABETICOS COMPENSADOS BAJO CONTROL EN EL  GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,55;351;622;0,56;1,00;0,15
2011;4;HOSPITAL YUMBEL;META 3: PORCENTAJE DE CONSULTAS DE PROFESIONALES PROGRAMADAS Y REALIZADAS;0,95;26537;18504;1,43;1,00;0,10
2011;4;HOSPITAL YUMBEL;META 4: ALTAS ODONTOLOGICAS TOTALES EN EMBARAZADAS BAJO CONTROL, BENEFICIARIAS DEL NIVEL PRIMARIO;0,62;83;102;0,81;1,00;0,15
2011;4;HOSPITAL YUMBEL;META 5: PORCENTAJE DE CASOS DE GARANTIAS EXPLICITAS EN SALUD CON INDICACION DE TRATAMIENTO, EN LOS CASOS QUE SE CUMPLEN LAS GARANTIAS DE OPORTUNIDAD DE INICIO DE TRATAMIENTO;1,00;1602;1602;1,00;1,00;0,15
2011;4;HOSPITAL YUMBEL;META 6: PORCENTAJE DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES OTORGADAS SEGÚN LO PROGRAMADO DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES EN CONTRATO PPV PARA EL AÑO 2011;1,00;1047;1179;0,89;0,89;0,15
2011;4;HOSPITAL YUMBEL;META 7: PORCENTAJE DE FUNCIONARIOS REGIDOS POR E.A. QUE ASISTIERON DURANTE EL AÑO 2011 AL MENOS A UNA ACTIVIDAD DE CAPACITACIÓN PERTINENTE EN GES, MODELO DE ATENCIÓN, GESTION EN RED ASISTENCIAL,MEJORAMIENTO DE LA CALIDAD DE ATENCION Y TRATO AL USUARIO;0,66;84;103;0,82;1,00;0,15
2011;4;Complejo Asistencial Dr. Victor Rios Ruiz;META 1:PORCENTAJE DE PACIENTES HIPERTENSOS COMPENSADOS BAJO CONTROL  EN EL GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,00;0;0;NO APLICA;NO APLICA;0,00
2011;4;Complejo Asistencial Dr. Victor Rios Ruiz;META 2: PORCENTAJE DE PACIENTES DIABETICOS COMPENSADOS BAJO CONTROL EN EL  GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,00;0;0;NO APLICA;NO APLICA;0,00
2011;4;Complejo Asistencial Dr. Victor Rios Ruiz;META 3: PORCENTAJE DE CONSULTAS DE PROFESIONALES PROGRAMADAS Y REALIZADAS;0,95;62658;52300;1,20;1,00;0,15
2011;4;Complejo Asistencial Dr. Victor Rios Ruiz;META 4: ALTAS ODONTOLOGICAS TOTALES EN EMBARAZADAS BAJO CONTROL, BENEFICIARIAS DEL NIVEL PRIMARIO;0,00;0;0;NO APLICA;NO APLICA;0,00
2011;4;Complejo Asistencial Dr. Victor Rios Ruiz;META 5: PORCENTAJE DE CASOS DE GARANTIAS EXPLICITAS EN SALUD CON INDICACION DE TRATAMIENTO, EN LOS CASOS QUE SE CUMPLEN LAS GARANTIAS DE OPORTUNIDAD DE INICIO DE TRATAMIENTO;0,95;9268;9553;0,97;1,00;0,15
2011;4;Complejo Asistencial Dr. Victor Rios Ruiz;META 6: PORCENTAJE DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES OTORGADAS SEGÚN LO PROGRAMADO DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES EN CONTRATO PPV PARA EL AÑO 2011;0,95;27327;31068;1,11;1,00;0,15
2011;4;Complejo Asistencial Dr. Victor Rios Ruiz;META 7: PORCENTAJE DE FUNCIONARIOS REGIDOS POR E.A. QUE ASISTIERON DURANTE EL AÑO 2011 AL MENOS A UNA ACTIVIDAD DE CAPACITACIÓN PERTINENTE EN GES, MODELO DE ATENCIÓN, GESTION EN RED ASISTENCIAL,MEJORAMIENTO DE LA CALIDAD DE ATENCION Y TRATO AL USUARIO;0,45;583;1117;0,52;1,00;0,10
2011;4;Dirección de Servicio de Salud;META 1:PORCENTAJE DE PACIENTES HIPERTENSOS COMPENSADOS BAJO CONTROL  EN EL GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,00;0;0;NO APLICA;NO APLICA;0,00
2011;4;Dirección de Servicio de Salud;META 2: PORCENTAJE DE PACIENTES DIABETICOS COMPENSADOS BAJO CONTROL EN EL  GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,00;0;0;NO APLICA;NO APLICA;0,00
2011;4;Dirección de Servicio de Salud;META 3: PORCENTAJE DE CONSULTAS DE PROFESIONALES PROGRAMADAS Y REALIZADAS;0,00;0;0;NO APLICA;NO APLICA;0,00
2011;4;Dirección de Servicio de Salud;META 4: ALTAS ODONTOLOGICAS TOTALES EN EMBARAZADAS BAJO CONTROL, BENEFICIARIAS DEL NIVEL PRIMARIO;0,00;0;0;NO APLICA;NO APLICA;0,00
2011;4;Dirección de Servicio de Salud;META 5: PORCENTAJE DE CASOS DE GARANTIAS EXPLICITAS EN SALUD CON INDICACION DE TRATAMIENTO, EN LOS CASOS QUE SE CUMPLEN LAS GARANTIAS DE OPORTUNIDAD DE INICIO DE TRATAMIENTO;1,00;20992;21314;0,98;0,98;0,15
2011;4;Dirección de Servicio de Salud;META 6: PORCENTAJE DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES OTORGADAS SEGÚN LO PROGRAMADO DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES EN CONTRATO PPV PARA EL AÑO 2011;0,00;0;0;NO APLICA;NO APLICA;0,00
2011;4;Dirección de Servicio de Salud;META 7: PORCENTAJE DE FUNCIONARIOS REGIDOS POR E.A. QUE ASISTIERON DURANTE EL AÑO 2011 AL MENOS A UNA ACTIVIDAD DE CAPACITACIÓN PERTINENTE EN GES, MODELO DE ATENCIÓN, GESTION EN RED ASISTENCIAL,MEJORAMIENTO DE LA CALIDAD DE ATENCION Y TRATO AL USUARIO;0,72;124;160;0,78;1,00;0,20
2012;4;HOSPITAL HUEPIL;META 1:PORCENTAJE DE PACIENTES HIPERTENSOS COMPENSADOS BAJO CONTROL  EN EL GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,66;778;1196;0,65;0,99;0,15
2012;4;HOSPITAL HUEPIL;META 2: PORCENTAJE DE PACIENTES DIABETICOS COMPENSADOS BAJO CONTROL EN EL  GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,52;302;554;0,55;1,00;0,15
2012;4;HOSPITAL HUEPIL;META 3: PORCENTAJE DE CONSULTAS DE PROFESIONALES PROGRAMADAS Y REALIZADAS;0,95;20851;20353;1,02;1,00;0,10
2012;4;HOSPITAL HUEPIL;META 4: ALTAS ODONTOLOGICAS TOTALES EN EMBARAZADAS BAJO CONTROL, BENEFICIARIAS DEL NIVEL PRIMARIO;0,88;84;93;0,90;1,00;0,15
2012;4;HOSPITAL HUEPIL;META 5: PORCENTAJE DE CASOS DE GARANTIAS EXPLICITAS EN SALUD CON INDICACION DE TRATAMIENTO, EN LOS CASOS QUE SE CUMPLEN LAS GARANTIAS DE OPORTUNIDAD DE INICIO DE TRATAMIENTO;1,00;1796;1796;1,00;1,00;0,15
2012;4;HOSPITAL HUEPIL;META 6: PORCENTAJE DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES OTORGADAS SEGÚN LO PROGRAMADO DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES EN CONTRATO PPV PARA EL AÑO 2011;1,00;609;558;1,09;1,00;0,15
2012;4;HOSPITAL HUEPIL;META 7: PORCENTAJE DE FUNCIONARIOS REGIDOS POR E.A. QUE ASISTIERON DURANTE EL AÑO 2011 AL MENOS A UNA ACTIVIDAD DE CAPACITACIÓN PERTINENTE EN GES, MODELO DE ATENCIÓN, GESTION EN RED ASISTENCIAL,MEJORAMIENTO DE LA CALIDAD DE ATENCION Y TRATO AL USUARIO;0,80;62;75;0,83;1,00;0,15
2012;4;HOSPITAL MULCHEN;META 1:PORCENTAJE DE PACIENTES HIPERTENSOS COMPENSADOS BAJO CONTROL  EN EL GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,62;2158;3013;0,72;1,00;0,15
2012;4;HOSPITAL MULCHEN;META 2: PORCENTAJE DE PACIENTES DIABETICOS COMPENSADOS BAJO CONTROL EN EL  GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,44;619;1398;0,44;1,00;0,15
2012;4;HOSPITAL MULCHEN;META 3: PORCENTAJE DE CONSULTAS DE PROFESIONALES PROGRAMADAS Y REALIZADAS;0,98;50239;47935;1,05;1,00;0,10
2012;4;HOSPITAL MULCHEN;META 4: ALTAS ODONTOLOGICAS TOTALES EN EMBARAZADAS BAJO CONTROL, BENEFICIARIAS DEL NIVEL PRIMARIO;0,68;235;324;0,73;1,00;0,15
2012;4;HOSPITAL MULCHEN;META 5: PORCENTAJE DE CASOS DE GARANTIAS EXPLICITAS EN SALUD CON INDICACION DE TRATAMIENTO, EN LOS CASOS QUE SE CUMPLEN LAS GARANTIAS DE OPORTUNIDAD DE INICIO DE TRATAMIENTO;1,00;3078;3078;1,00;1,00;0,15
2012;4;HOSPITAL MULCHEN;META 6: PORCENTAJE DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES OTORGADAS SEGÚN LO PROGRAMADO DE ATENCIONES TRAZADORAS DE TRATAMIENTO GES EN CONTRATO PPV PARA EL AÑO 2011;1,00;1286;1132;1,14;1,00;0,15
2012;4;HOSPITAL MULCHEN;META 7: PORCENTAJE DE FUNCIONARIOS REGIDOS POR E.A. QUE ASISTIERON DURANTE EL AÑO 2011 AL MENOS A UNA ACTIVIDAD DE CAPACITACIÓN PERTINENTE EN GES, MODELO DE ATENCIÓN, GESTION EN RED ASISTENCIAL,MEJORAMIENTO DE LA CALIDAD DE ATENCION Y TRATO AL USUARIO;0,67;107;155;0,69;1,00;0,15
2012;4;HOSPITAL NACIMIENTO;META 1:PORCENTAJE DE PACIENTES HIPERTENSOS COMPENSADOS BAJO CONTROL  EN EL GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,60;1660;2753;0,60;1,00;0,15
2012;4;HOSPITAL NACIMIENTO;META 2: PORCENTAJE DE PACIENTES DIABETICOS COMPENSADOS BAJO CONTROL EN EL  GRUPO DE 20 Y MAS AÑOS EN EL NIVEL PRIMARIO;0,40;624;1504;0,41;1,00;0,15
2012;4;HOSPITAL NACIMIENTO;META 3: PORCENTAJE DE CONSULTAS DE PROFESIONALES PROGRAMADAS Y REALIZADAS;0,98;41719;46888;0,89;0,91;0,10
2012;4;HOSPITAL NACIMIENTO;META 4: ALTAS ODONTOLOGICAS TOTALES EN EMBARAZADAS BAJO CONTROL, BENEFICIARIAS DEL NIVEL PRIMARIO;0,80;270;369;0,73;0,91;0,15
